Tc_full-no_duplicates,Tc_full
662,1693
663,1694
664,1695
665,1696
666,1697
667,1698
668,1699
669,1700
670,1701
671,1702
672,1703
673,1704
674,1705
675,1706
676,1707
677,1708
678,1709
679,1710
680,1711
681,1712
682,1713
683,1714
684,1715
685,1716
686,1717
687,1718
688,1719
689,1720
690,1721
691,1722
692,1723
693,1724
694,1725
695,1726
696,1727
697,1728
698,1729
699,1730
700,1731
701,1732
702,1733
703,1734
704,1735
705,1736
706,1737
707,1738
708,1739
709,1740
710,1741
711,1742
712,1743
713,1744
714,1745
715,1746
716,1747
717,1748
718,1749
719,1750
720,1751
721,1752
722,1753
723,1754
724,1755
725,1756
726,1757
727,1758
728,1759
729,1760
730,1761
731,1762
732,1763
733,1764
734,1765
735,1766
736,1767
737,1768
738,1769
739,1770
740,1771
741,1772
742,1773
743,1774
744,1775
745,1776
746,1777
747,1778
748,1779
749,1780
750,1781
751,1782
752,1783
753,1784
754,1785
755,1786
756,1787
757,1788
758,1789
759,1790
760,1791
761,1792
762,1793
763,1794
764,1795
765,1796
766,1797
767,1798
768,1799
769,1800
770,1801
771,1802
772,1803
773,1804
774,1805
775,1806
776,1807
777,1808
778,1809
779,1810
780,1811
781,1812
782,1813
783,1814
784,1815
785,1816
786,1817
787,1818
788,1819
789,1820
790,1821
791,1822
792,1823
793,1824
794,1825
795,1826
796,1827
797,1828
798,1829
799,1830
800,1831
801,1832
802,1833
803,1834
804,1835
805,1836
806,1837
807,1838
808,1839
809,1840
810,1841
811,1842
812,1843
813,1844
814,1845
815,1846
816,1847
817,1848
818,1849
819,1850
820,1851
821,1852
822,1853
823,1854
824,1855
825,1856
826,1857
827,1858
828,1859
829,1860
830,1861
831,1862
832,1863
833,1864
834,1865
835,1866
836,1867
837,1868
838,1869
839,1870
840,1871
841,1872
842,1873
843,1874
844,1875
845,1876
846,1877
847,1878
848,1879
849,1880
850,1881
851,1882
852,1883
853,1884
854,1885
855,1886
856,1887
857,1888
858,1889
859,1890
860,1891
861,1892
862,1893
863,1894
864,1895
865,1896
866,1897
867,1898
868,1899
869,1900
870,1901
871,1902
872,1903
